model	params	stanli_prep_s	stanli_ns_grad	stanli_sample_s	stanli_grads	cmdstan_build_s	cmdstan_ns_grad	cmdstan_sample_s	note
2pl_latent_reg_irt	531	0.004473	66131			5.5	100558	6.86	""
GLMM1_model	237	0.003894	9992			3.1	31084	1.70	""
GLMM_Poisson_model	45	0.000458	635			3.6	1205	0.65	""
GLM_Binomial_model	3	0.000446	797			3.1	1067	0.27	""
GLM_Poisson_model	4	0.000367	356			3.1	729	0.27	""
M0_model	2	0.001769	4397			2.6	14715	0.38	""
Mb_model	3	0.020988	33517			3.1	50289	1.14	""
Mh_model	388	0.006370	15093			3.1	33141	2.64	""
Mt_model	4	0.001870	4482			3.3	17407	0.46	""
Mtbh_model	154	0.017478	12713			4.7	39106	2.24	""
Mth_model	394	0.017790	23588			4.1	101609	5.50	""
Rate_1_model	1	0.000194	70			2.3	96	0.22	""
Rate_2_model	2	0.000266	130			2.4	166	0.23	""
Rate_3_model	1	0.000213	88			2.3	114	0.22	""
Rate_4_model	2	0.000226	103			2.4	145	0.22	""
Rate_5_model	1	0.000227	88			2.4	112	0.22	""
Survey_model	1	0.006172	53809			2.8	60867	1.15	""
accel_gp	66	0.003971	4495			6.3	7684	14.89	""
accel_splines	82	0.003478	4786			4.3	7370	16.16	""
arK	7	0.002165	1687			2.7	8141	0.75	""
arma11	4	0.002557	4180			2.8	3942	0.29	""
blr	6	0.000396	523			3.0	430	0.26	""
bones_model	13	0.011351	41117			3.4	50060	1.32	""
bym2_offset_only	3845	0.001671	35558			4.2	61203	19.89	""
covid19imperial_v2	51	0.656863	232464			6.5	337668	136.50	""
covid19imperial_v3	51	0.657208	230918			6.5	340314	137.15	""
diamonds	26	0.021819	30996			3.2	31017	48.33	""
dogs	3	0.014149	6158			4.0	27642	1.27	""
dogs_hierarchical	2	0.012629	10285			2.6	32890	0.70	""
dogs_log	2	0.014146	6146			3.6	27105	0.85	""
dogs_nonhierarchical	65	0.013928	15318			6.5	39686	2.81	""
dugongs_model	4	0.000425	506			2.9	933	0.29	""
earn_height	3	0.000515	4048			2.7	7027	1.41	""
eight_schools_centered	10	0.000242	232			2.8	290	0.26	""
eight_schools_noncentered	10	0.000277	197			3.1	268	0.24	""
election88_full	90	0.007613	215404			4.8	437064	265.47	""
garch11	4	0.002529	7015			2.8	6597	0.44	""
gp_pois_regr	13	0.000417	2274			5.4	2518	1.43	""
gp_regr	3	0.000389	2669			5.1	3182	0.27	""
gpcm_latent_reg_irt	530	0.089797	122339			5.3	1377045	156.60	""
grsm_latent_reg_irt	408	0.029824	70389			5.1	741138	68.86	""
hier_2pl	669	0.010038	189923			6.4	290582	20.37	""
hierarchical_gp	933	0.013501	19566			8.6	41217	17.32	""
hmm_drive_0	6	0.089980	103570			4.6	132068	3.68	""
hmm_drive_1	6	0.090971	110647			4.5	143476	6.93	""
hmm_example	4	0.019748	16140			3.9	26102	1.01	""
hmm_gaussian	14	0.300873	169246			4.6	261635	18.75	""
iohmm_reg	29	0.468568	165937			5.9	305087	158.47	""
irt_2pl	144	0.000724	16320			4.0	21318	1.53	""
kidscore_interaction	5	0.000453	2452			3.0	5705	1.37	""
kidscore_interaction_c	5	0.000478	2442			3.0	5655	0.33	""
kidscore_interaction_c2	5	0.000464	2444			3.0	5731	0.36	""
kidscore_interaction_z	5	0.000510	2440			3.1	5621	0.40	""
kidscore_mom_work	5	0.001270	2437			3.0	5720	0.50	""
kidscore_momhs	3	0.000398	1505			2.8	2668	0.31	""
kidscore_momhsiq	4	0.000426	2049			2.9	4121	0.67	""
kidscore_momiq	3	0.000403	1507			2.8	2596	0.44	""
kilpisjarvi	3	0.000296	308			2.7	504	1.42	""
kronecker_gp	438	0.006984	192417			9.0	215956	436.54	""
ldaK2	7	0.008556	47923			3.5	95585	3.07	""
ldaK5	7714	0.441367	2273386			3.5	5517117		cmdstan_sample_timeout
log10earn_height	3	0.000534	4046			2.8	7218	1.35	""
logearn_height	3	0.000519	3990			2.8	7039	1.31	""
logearn_height_male	4	0.000542	5427			2.9	11713	2.58	""
logearn_interaction	5	0.000568	7206			3.0	15949	5.60	""
logearn_interaction_z	5	0.000577	7183			3.1	16005	0.63	""
logearn_logheight_male	4	0.000551	5435			2.9	11742	9.05	""
logistic_regression_rhs	3075	0.011539	40281			4.8	48042	10.46	""
logmesquite	8	0.000422	465			3.2	1275	0.34	""
logmesquite_logva	5	0.000398	328			3.2	758	0.32	""
logmesquite_logvas	8	0.000432	463			3.5	1263	0.40	""
logmesquite_logvash	7	0.000408	426			3.4	1102	0.39	""
logmesquite_logvolume	3	0.000330	247			2.9	412	0.23	""
losscurve_sislob	15	0.002244	1049			4.4	1874	0.34	""
lotka_volterra	8	0.000842	21618			4.3	39783	6.44	""
low_dim_gauss_mix	5	0.003773	47964			3.1	100962	1.79	""
