model	params	stanli_prep_s	stanli_ns_grad	stanli_sample_s	stanli_grads	cmdstan_build_s	cmdstan_ns_grad	cmdstan_sample_s	note
2pl_latent_reg_irt	531	0.004175	64654	4.87	63456	5.7	132198	7.86	""
GLMM1_model	237	0.003670	9953	1.01	35366	3.1	30838	1.71	""
GLMM_Poisson_model	45	0.000459	640	0.17	105581	3.6	1578	0.73	""
GLM_Binomial_model	3	0.000432	815	0.05	15358	3.1	1268	0.27	""
GLM_Poisson_model	4	0.000385	358	0.06	31596	3.1	992	0.29	""
M0_model	2	0.001740	4423	0.07	9830	2.6	14696	0.40	""
Mb_model	3	0.022103	34017	0.87	12841	3.1	48364	1.14	""
Mh_model	388	0.006115	14986	1.10	43487	3.1	34912	2.72	""
Mt_model	4	0.001886	4490	0.08	12386	3.3	19042	0.48	""
Mtbh_model	154	0.016560	13232	1.02	33662	4.8	41824	2.33	""
Mth_model	394	0.017745	23607	2.36	37338	4.1	90576	5.36	""
Rate_1_model	1	0.000205	69	0.01	7253	2.3	95	0.21	""
Rate_2_model	2	0.000278	130	0.02	9125	2.4	165	0.22	""
Rate_3_model	1	0.000216	85	0.02	7161	2.3	115	0.21	""
Rate_4_model	2	0.000261	105	0.02	11199	2.4	144	0.22	""
Rate_5_model	1	0.000228	85	0.02	6909	2.4	114	0.21	""
Survey_model	1	0.006016	53720	1.12	13438	2.8	60638	1.14	""
accel_gp	66	0.003878	4446	8.96	1649789	5.1	8756	16.85	""
accel_splines	82	0.003463	4681	10.76	1882594	4.2	9156	19.37	""
arK	7	0.002099	1670	0.13	59533	2.7	11357	0.97	""
arma11	4	0.002348	4131	0.08	13773	2.8	5232	0.31	""
blr	6	0.000404	505	0.05	37164	3.0	898	0.29	""
bones_model	13	0.010589	41373	0.70	16342	3.3	49977	1.36	""
bym2_offset_only	3845	0.001598	35571	12.85	189728	4.0	101226	23.45	""
covid19imperial_v2	51	0.651408	234574	120.43	492590	7.2	370830	179.69	""
covid19imperial_v3	51	0.650788	233626	119.99	492590	8.2	378892	181.41	""
diamonds	26	0.021463	31069	49.65	1585024	3.5	31897	48.89	""
dogs	3	0.014740	6180	0.48	23801	3.5	62233	2.41	""
dogs_hierarchical	2	0.011789	10336	0.24	11244	2.7	32744	0.71	""
dogs_log	2	0.014008	6097	0.42	15249	3.1	39998	1.04	""
dogs_nonhierarchical	65	0.013431	15288	0.92	45830	6.6	40321	2.88	""
dugongs_model	4	0.000429	525	0.05	37938	2.9	927	0.31	""
earn_height	3	0.000530	4044	0.71	160350	2.7	10177	1.88	""
eight_schools_centered	10	0.000248	217	0.04	39207	2.9	323	0.28	""
eight_schools_noncentered	10	0.000277	215	0.03	22970	3.1	350	0.27	""
election88_full	90	0.007342	215507	104.72	466946	4.0	897020	477.50	""
garch11	4	0.002477	6900	0.19	23868	2.8	7938	0.47	""
