model	params	stanli_prep_s	stanli_ns_grad	stanli_sample_s	stanli_grads	cmdstan_build_s	cmdstan_ns_grad	cmdstan_sample_s	note
aalto_bern	1	0.000369	75			2.5	103		""
aalto_binom	1	0.000277	70			2.4	114		""
aalto_binom2	2	0.000311	123			2.5	186		""
aalto_binomb	1	0.000253	66			2.4	90		""
aalto_gpareto	2	0.001425	361			3.1	231		""
aalto_grp_aov	4	0.000310	248			3.1	329		""
aalto_grp_prior_mean	6	0.000379	301			3.1	413		""
aalto_grp_prior_mean_var	10	0.000522	547			3.9	744		""
aalto_lin	3	0.000512	175			3.0	282		""
aalto_lin_std	3	0.000531	181			3.3	318		""
aalto_lin_std_t	4	0.000565	270			3.5	367		""
aalto_poisson_hurdle	2	0.024650	2308			2.9	58015		""
aalto_poisson_simple	1	0.002113	840			2.7	956		""
