model,collection,stanli_wall_ms,cmdstan_wall_ms,cmdstan_over_stanli,paired_ratio_median,paired_ratio_mad,stanli_peak_rss_mib,cmdstan_peak_rss_mib,max_lp_ulp,max_gradient_ulp,max_output_ulp,stanli_divergences,cmdstan_divergences,stanli_max_rhat,cmdstan_max_rhat,diagnostic_flag
eight_schools_noncentered,control,21.7778,30.7989,1.41423,1.41897,0.0131944,13.8906,4.10938,,,,2,2,1.00338,1.00338,True
i319_gauss_re,brms,317.475,282.227,0.888971,0.855041,0.0750041,18.0312,4.5,0,1,0,0,0,1.00526,1.00509,False
i319_negbin_fixed,brms,186.384,191.053,1.02505,1.06033,0.0510704,14.9922,4.23438,0,0,0,231,231,1.5974,1.59743,True
i319_negbin_re,brms,1010,1045.14,1.0348,1.05834,0.0335772,17.9375,4.48438,0,2,0,0,0,1.00389,1.0055,False
i319_pois_fixed,brms,93.5635,105.511,1.1277,1.10134,0.0381428,14.5391,4.09375,0,0,0,0,0,1.00314,1.00314,False
i319_pois_re,brms,1302.64,1262.84,0.969451,0.961804,0.016768,17.4922,4.39062,0,2,0,0,0,1.00488,1.01098,True
i319_pois_re2,brms,2235.5,2492.06,1.11477,1.10744,0.00979986,19.0625,4.76562,0,2,0,0,0,1.00527,1.00598,False
i320_gp_expquad,brms,654.57,862.009,1.31691,1.30557,0.0279662,16.8828,4.54688,0,0,0,24,26,1.0069,1.00512,True
i320_gp_matern32,brms,1719.17,1764.48,1.02636,0.86928,0.246115,16.7344,4.65625,0,0,0,35,300,1.02352,1.31319,True
i320_mi_nhanes,brms,887.899,906.863,1.02136,1.03002,0.0803685,17.7578,4.34375,0,0,0,14,2,1.00227,1.00215,True
i320_pois_trunc_both,brms,823.054,786.411,0.955479,0.943231,0.00291619,17.4062,4.3125,0,0,0,0,0,1.00288,1.00288,False
i320_pois_trunc_ub,brms,641.5,637.716,0.994101,1.00268,0.00858144,16.4141,4.28125,0,0,0,0,0,1.00288,1.00288,False
i320_sratio_cs,brms,1978.2,2731.95,1.38103,1.34804,0.0181661,27.9844,4.90625,0,0,0,0,0,1.00315,1.00315,False
i320_sratio_plain,brms,1116.57,1516.39,1.35808,1.35669,0.0113644,24.4688,4.5,0,0,0,0,0,1.00163,1.00163,False
s2_ar_cov,brms,108.514,118.934,1.09603,1.15144,0.0811209,18,4.375,0,2,0,0,0,1.00116,1.00091,False
s2_beta_binomial,brms,69.6115,85.5481,1.22894,1.26349,0.053581,15.1797,4.21875,0,0,0,0,0,1.00194,1.00194,False
s2_car,brms,81.6385,125.336,1.53525,1.52762,0.180484,16.7109,4.17188,1,4,0,20,29,1.00708,1.0181,True
s2_car_esicar,brms,70.6235,86.1369,1.21966,1.22572,0.0808026,16.7422,4.21875,1,4,0,104,112,1.00684,1.02552,True
s2_car_icar,brms,2443.21,4316.74,1.76683,1.7659,0.066012,16.1875,4.24219,0,0,0,0,0,1.00263,1.00618,True
s2_categorical_re,brms,288.491,345.424,1.19735,1.19035,0.0590833,18.0156,4.28125,0,8,0,0,3,1.00295,1.00291,True
s2_cens_interval,brms,38.2119,50.7959,1.32932,1.35952,0.0302869,15.7422,4.15625,2,3,0,0,0,1.0023,1.0021,False
s2_com_poisson,brms,1152.72,1104.41,0.958093,0.928639,0.0644872,32.7266,44.7969,0,4,0,0,0,1.00442,1.00613,False
s2_cosy,brms,135.194,146.58,1.08422,1.07895,0.0285695,17.5391,4.32031,1,1,0,0,0,1.00455,1.00308,False
s2_cox,brms,56.6149,112.009,1.97844,1.9784,0.0124568,15.7734,4.20312,1,0,0,0,0,1.00234,1.00166,False
s2_cox_cens,brms,51.4442,119.159,2.31628,2.42379,0.135515,16.1484,4.26562,0,0,0,0,0,1.00155,1.00238,False
s2_cumulative_cauchit,brms,47.5607,119.474,2.51203,2.50464,0.115433,15.7656,4.125,2,3,0,0,0,1.00349,1.00383,False
s2_cumulative_cloglog,brms,51.7177,100.047,1.93448,1.93584,0.17276,15.5234,4.125,1,2,0,0,0,1.00128,1.00158,False
s2_cumulative_probit,brms,88.8271,113.565,1.2785,1.26773,0.0336153,15.3203,4.24219,0,0,0,0,0,1.00113,1.00113,False
s2_custom_vint,brms,79.1888,89.8495,1.13462,1.18847,0.0800106,15.6016,4.21875,0,0,0,0,0,1.00096,1.00097,False
